Group1, Title1	03/22/18 8:00:00am CDT	03/22/18 8:16:00am CDT
Group2, Title2	03/22/18 8:18:00am CDT	03/22/18 8:34:00am CDT
Group3, Title3	03/22/18 8:36:00am CDT	03/22/18 8:52:00am CDT
Group4, Title4	03/22/18 8:54:00am CDT	03/22/18 9:10:00am CDT
Group5, Title5	03/22/18 9:12:00am CDT	03/22/18 9:28:00am CDT
Group6, Title6	03/22/18 9:30:00am CDT	03/22/18 9:46:00am CDT
Group7, Title7	03/22/18 9:48:00am CDT	03/22/18 10:04:00am CDT
Group8, Title8	03/22/18 10:06:00am CDT	03/22/18 10:22:00am CDT
Group9, Title9	03/22/18 2:02:00pm CDT	03/22/18 2:18:00pm CDT
Group10, Title10	03/22/18 2:20:00pm CDT	03/22/18 2:36:00pm CDT
Group11, Title11	03/22/18 2:38:00pm CDT	03/22/18 2:54:00pm CDT
Group12, Title12	03/22/18 2:56:00pm CDT	03/22/18 3:12:00pm CDT
Group13, Title13	03/22/18 3:14:00pm CDT	03/22/18 3:30:00pm CDT
Group14, Title14	03/22/18 3:32:00pm CDT	03/22/18 3:48:00pm CDT
Group15, Title15	03/22/18 3:50:00pm CDT	03/22/18 4:06:00pm CDT
Group16, Title16	03/22/18 4:08:00pm CDT	03/22/18 4:24:00pm CDT
Group17, Title17	03/22/18 4:26:00pm CDT	03/22/18 4:42:00pm CDT
Group18, Title18	03/22/18 4:44:00pm CDT	03/22/18 5:00:00pm CDT
Group19, Title19	03/23/18 8:00:00am CDT	03/23/18 8:16:00am CDT
Group20, Title20	03/23/18 8:18:00am CDT	03/23/18 8:34:00am CDT
Group21, Title21	03/23/18 8:36:00am CDT	03/23/18 8:52:00am CDT
Group22, Title22	03/23/18 8:54:00am CDT	03/23/18 9:10:00am CDT
Group23, Title23	03/23/18 9:12:00am CDT	03/23/18 9:28:00am CDT
Group24, Title24	03/23/18 9:30:00am CDT	03/23/18 9:46:00am CDT
Group25, Title25	03/23/18 9:48:00am CDT	03/23/18 10:04:00am CDT
Group26, Title26	03/23/18 10:06:00am CDT	03/23/18 10:22:00am CDT
Group27, Title27	03/23/18 10:24:00am CDT	03/23/18 10:40:00am CDT
Group28, Title28	03/23/18 10:42:00am CDT	03/23/18 10:58:00am CDT
Group29, Title29	03/23/18 3:30:00pm CDT	03/23/18 3:46:00pm CDT
Group30, Title30	03/23/18 3:48:00pm CDT	03/23/18 4:04:00pm CDT
Group31, Title31	03/23/18 4:06:00pm CDT	03/23/18 4:22:00pm CDT
Group32, Title32	03/23/18 4:24:00pm CDT	03/23/18 4:40:00pm CDT
Group33, Title33	03/23/18 4:42:00pm CDT	03/23/18 4:58:00pm CDT
Group34, Title34	03/23/18 5:00:00pm CDT	03/23/18 5:16:00pm CDT
Group35, Title35	03/23/18 5:18:00pm CDT	03/23/18 5:34:00pm CDT
Group36, Title36	03/23/18 5:36:00pm CDT	03/23/18 5:52:00pm CDT
Group37, Title37	03/23/18 5:54:00pm CDT	03/23/18 6:10:00pm CDT
Group38, Title38	03/23/18 6:12:00pm CDT	03/23/18 6:28:00pm CDT
Group39, Title39	03/24/18 8:00:00am CDT	03/24/18 8:16:00am CDT
Group40, Title40	03/24/18 8:18:00am CDT	03/24/18 8:34:00am CDT
Group41, Title41	03/24/18 8:36:00am CDT	03/24/18 8:52:00am CDT
Group42, Title42	03/24/18 8:54:00am CDT	03/24/18 9:10:00am CDT
Group43, Title43	03/24/18 9:12:00am CDT	03/24/18 9:28:00am CDT
Group44, Title44	03/24/18 9:30:00am CDT	03/24/18 9:46:00am CDT
Group45, Title45	03/24/18 9:48:00am CDT	03/24/18 10:04:00am CDT
Group46, Title46	03/24/18 10:06:00am CDT	03/24/18 10:22:00am CDT
Group47, Title47	03/24/18 10:24:00am CDT	03/24/18 10:40:00am CDT
Group48, Title48	03/24/18 3:30:00pm CDT	03/24/18 3:46:00pm CDT
Group49, Title49	03/24/18 3:48:00pm CDT	03/24/18 4:04:00pm CDT
Group50, Title50	03/24/18 4:06:00pm CDT	03/24/18 4:22:00pm CDT
Group51, Title51	03/24/18 4:24:00pm CDT	03/24/18 4:40:00pm CDT
Group52, Title52 	03/24/18 4:42:00pm CDT	03/24/18 4:58:00pm CDT
Group53, Title53	03/24/18 5:00:00pm CDT	03/24/18 5:16:00pm CDT
Group54, Title54	03/24/18 5:18:00pm CDT	03/24/18 5:34:00pm CDT
Group55, Title55	03/24/18 5:36:00pm CDT	03/24/18 5:52:00pm CDT
